listing_id,name,price,latitude,longitude,accommodates,bathrooms,bedrooms,num_beds,rating_accuracy,rating_cleanliness,rating_communication,rating_location,rating_value,review_score_average,price_per_person,amenities_count,Quarter_Or_City
281552,Harvard Sq Large 1BR overlooks park,175,42.37711851,-71.1201119,3,1,1,2,5,4.5,4.5,5.0,5.0,4.8,58.333333333333336,9,Cambridge
182613,Luxury 2BR condo Charlestown Boston,249,42.37738703,-71.0604352,8,1,2,3,5,5.0,5.0,4.0,4.5,4.7,31.125,11,Charlestown
1587540,Cozy House on Bunker Hill in Boston,225,42.37889813,-71.06118226,4,1,3,3,5,5.0,5.0,5.0,5.0,5.0,56.25,8,Charlestown
469506,"Luxury 1bd, Safe/Central Brookline",140,42.33884782,-71.13547523,2,1,1,1,5,5.0,4.5,4.5,4.5,4.7,70.0,12,Brookline
3937268,Boston bedroom & private bathroom,99,42.34320576,-71.11995461,2,1,1,1,4,5.0,5.0,5.0,5.0,4.9,49.5,7,Brookline
3036349,Top floor getaway,89,42.33852563,-71.14351579,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,44.5,11,Brookline
2664052,Cozy Living Room Accommodations ,49,42.33173798,-71.11989557,2,1,1,1,3,3.0,4.5,4.5,3.5,3.8,24.5,10,Brookline
1482602,"Room14  At Coolidge Corner, ",85,42.33964463,-71.1247756,1,0,1,1,5,5.0,5.0,5.0,4.5,4.9,85.0,7,Brookline
182505,Gorgeous Home in Washington Square,295,42.33718509,-71.13540021,6,3,4,5,5,4.5,5.0,5.0,5.0,4.9,49.16666666666666,16,Brookline
3774132,Big Beautiful Room in Wash. Square,89,42.33619547,-71.13732011,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,44.5,8,Brookline
1992020,Private room & bath ,75,42.35106223,-71.12181933,2,1,1,2,5,5.0,5.0,5.0,5.0,5.0,37.5,5,Brookline
871051,The Perfect Weekend Getaway!!!,79,42.34174474,-71.13995307,2,1,1,1,5,5.0,5.0,4.5,5.0,4.9,39.5,8,Brookline
1584331,Brookline near Longwood Hospitals,85,42.33430643,-71.11377047,1,2,1,1,5,4.5,5.0,5.0,5.0,4.9,85.0,8,Brookline
4438351,lovely suite with qn bed/bath/porch,125,42.3394273,-71.11541567,2,1,1,1,0,,,,,4.694469026548672,62.5,14,Brookline
4423386,Beautiful and Cozy 1 Bedroom,185,42.33556554,-71.13975071,3,1,1,2,0,,,,,4.694469026548672,61.66666666666666,15,Brookline
23946,Spacious Studio  Boston-Longwood,175,42.33276102,-71.11508417,2,1,0,1,4,4.5,5.0,4.5,4.5,4.6,87.5,13,Brookline
2319690,Private Room near Coolidge Corner,70,42.34198969,-71.12633039,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,35.0,16,Brookline
352585,Room in Sunny Brookline Apartment,75,42.34606565,-71.12530271,2,2,1,1,5,5.0,5.0,5.0,5.0,5.0,37.5,9,Brookline
4112115,Beautiful Brownstone Apartment,215,42.345527,-71.1088228,4,1,1,3,0,,,,,4.694469026548672,53.75,11,Brookline
1699134,Big 1BR with Parking,125,42.334938,-71.12140455,2,1,1,1,5,4.5,5.0,5.0,4.5,4.8,62.5,17,Brookline
1883801,Beacon Street Getaway in Brookline!,95,42.35104941,-71.11981896,2,0,1,1,5,5.0,5.0,5.0,5.0,5.0,47.5,8,Brookline
1459400,Small bedroom in a cool apartment!,95,42.37451744,-71.149874,2,1,1,1,4,5.0,5.0,4.5,4.5,4.7,47.5,7,Cambridge
4583168,Homestay room in Boston suburb,40,42.36450012,-71.19142247,1,2,1,1,0,,,,,4.694469026548672,40.0,11,Watertown
4350515,"1880's Farmhouse Single Bedroom, ",75,42.36882074,-71.19155731,1,1,1,1,0,,,,,4.694469026548672,75.0,11,Watertown
2315521,Spacious 2bd condo near Harvard Sq.,175,42.37337486,-71.14614422,3,1,2,2,5,5.0,5.0,4.0,5.0,4.8,58.333333333333336,9,Watertown
3510591,"Comfortable, spacious, near Harvard",180,42.3708774,-71.16257724,3,1,2,2,0,,,,,4.694469026548672,60.0,7,Watertown
648066,Sunny Private Two Story Yogi Home,200,42.37181256,-71.19033529,7,1,3,4,4,4.5,4.5,4.5,4.0,4.4,28.571428571428573,13,Watertown
708802,Boston / Charlestown Apartment,150,42.37754964,-71.06280467,4,1,1,2,5,5.0,5.0,5.0,5.0,5.0,37.5,12,Charlestown
4057840,Top Floor of Historic Penthouse Apt,139,42.37140673,-71.06215498,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,69.5,16,Charlestown
1445064,Sunny quaint bedroom in condo,92,42.37963303,-71.06191588,1,1,1,1,5,5.0,5.0,4.5,4.5,4.8,92.0,15,Charlestown
1102623,Penthouse Bedroom on Freedom Trail,115,42.37475773,-71.05941798,2,1,1,1,4,5.0,4.5,5.0,4.5,4.7,57.5,9,Charlestown
478652,Fenway Rm - Int'l House near Tufts,50,42.39964839,-71.10424122,1,2,1,1,5,5.0,5.0,4.5,5.0,4.9,50.0,7,Medford
236242,Clean Furnished Bed Near Tufts Univ,58,42.42225733,-71.12649944,1,2,1,1,4,4.0,5.0,4.5,4.5,4.4,58.0,12,Medford
3016006,Convenient with comforts of home,75,42.4109126,-71.12010255,2,1,1,1,5,5.0,5.0,4.5,5.0,4.9,37.5,9,Medford
1342646,Private Room in Modern Apartment,75,42.43109428,-71.10509253,1,1,1,1,5,5.0,5.0,5.0,5.0,5.0,75.0,8,Medford
1465846,Room in Medford Victorian ,55,42.41187366,-71.12496717,2,1,1,1,4,4.5,5.0,4.5,4.5,4.5,27.5,10,Medford
3300181,Comfy Room near Tufts & Boston,75,42.41399647,-71.09797454,2,2,1,1,5,5.0,5.0,4.5,5.0,4.9,37.5,16,Medford
3664078,"Private BR near Tufts, Davis Square",69,42.40633857,-71.1088486,2,1,1,1,5,4.5,5.0,4.5,4.5,4.7,34.5,16,Medford
874901,"A Room of Your Own, near Tufts",75,42.41494872,-71.12168594,1,1,1,1,5,5.0,5.0,5.0,5.0,5.0,75.0,5,Medford
265849,Cozy room in cozy flat near Tufts U,55,42.39914376,-71.10888605,2,1,1,1,5,4.5,5.0,4.5,5.0,4.8,27.5,13,Medford
779392,Idyllic home on a hill! Cozy Room!,49,42.43610673,-71.10198247,2,2,1,1,5,4.5,5.0,4.5,5.0,4.8,24.5,8,Medford
1504192,Internatnl House for Scholars (1),62,42.40063532,-71.09878147,2,1,1,2,4,4.0,4.5,4.0,4.5,4.3,31.0,11,Medford
446257,"Walk to Tufts, Medford bedroom #1",54,42.41590815,-71.12014528,1,1,1,1,5,5.0,5.0,4.5,5.0,4.9,54.0,8,Medford
3848978,"Single Near Train & Bus, Tufts",55,42.42036178,-71.13144975,1,2,1,1,5,5.0,5.0,4.5,5.0,4.9,55.0,16,Medford
3446460,Bright private room near Boston,50,42.3690904,-71.19400006,1,1,1,1,5,5.0,5.0,4.5,5.0,4.9,50.0,9,Watertown
667452,Boston Harvard Tufts family-perfect,99,42.41820603,-71.11524634,8,1,2,5,5,5.0,5.0,4.5,5.0,4.9,12.375,9,Medford
3315714,"4 Bd Home, West Medford",225,42.42612337,-71.145691,7,2,4,4,5,5.0,5.0,4.5,4.5,4.8,32.142857142857146,15,Medford
1223050,Beautiful room in large penthouse.,125,42.37502381,-71.05921093,1,1,1,1,5,5.0,5.0,5.0,4.5,4.9,125.0,12,Charlestown
2477372,Bunker Hill Hideaway,250,42.37486077,-71.05824653,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,125.0,10,Charlestown
189965,"Lovely, luxurious space 3rd floor .",125,42.37567506,-71.06080415,2,1,1,1,5,5.0,5.0,5.0,4.5,4.9,62.5,6,Charlestown
93505,Spacious Victorian 2br+ apartment,187,42.37757885,-71.06376412,4,1,2,2,4,4.5,5.0,5.0,4.5,4.7,46.75,7,Charlestown
1658983,Charlestown - Freedom Trail 1BR!,120,42.37706242,-71.06204909,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,60.0,13,Charlestown
3595122,Cozy 1BD in historic Charlestown,150,42.37538948,-71.05979979,3,1,1,1,5,5.0,5.0,5.0,5.0,5.0,50.0,9,Charlestown
